For Retail / Manufacturing Industry,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ANNEX A ,,,,,
"LETTERED L FOOD SERVICES, INC.",,,,,,,,,,,,,,,,,,,,,Inventory,,
MERCHANDISE/ RAW MATERIALS / GOODS IN PROCESS / FINISHED GOODS INVENTORY,,,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2025",,,,,,,,,,,,,,,,,,,,,,,
PRODUCT / INVENTORY CODE,ITEM DESCRIPTION,,,,,,LOCATION (Note 1),,,INVENTORY VALUATION METHOD, UNIT PRICE ,QUANTITY IN STOCKS,weight / volume,,Unit of Measure,,UNIT OF MEASUREMENT, TOTAL WEIGHT / VOLUME , TOTAL WEIGHT / VOLUME , TOTAL COST ,,,
,,,,,,,ADDRESS,CODE,REMARKS,,,,,,,,,,," 1,005,789.94 ",,,
1,item,correction,brand,uom,weight/vol,,outlet,,remarks,(Note 2), UNIT PRICE ,quantity,weight/volume,corrected UOM,Unit of Measure,,"e.g., kilos, grams, liters, etc.)",,,,Checking,,
2,555 Fried Sardines Hot & Spicy,,555,grams,155,,CIP,,555/can/155grams,, 32.30 ,117,1,grams, pieces,,, 117.00 , 117pieces ," 3,779.10 ",,#NAME?,
3,Aji Panda Seasoning,,Ajinomoto,grams,500,,CIP,,Ajinomoto/pack/500grams,, 160.00 ,4,1,grams,grams,,, 3.60 , 3.6grams , 576.00 ,,#NAME?,
4,Alamang,,n/a,,,,Annex,,,, 0.06 ,2000,1000,0,grams,,1000grams," 2,000,000.00 ", 2000000grams , 110.00 ,,#NAME?,
4,Alamang,,n/a,,,,CIP,,,, 45.00 ,12,1,0,grams,,, 12.00 , 12grams , 540.00 ,,#NAME?,
5,Alaska Powder,,Alaska,grams,33,,Annex,,Alaska/pack (sachetx33grams),, 8.28 ,180,1,grams,pieces,,1pieces, 180.00 , 180pieces ," 1,490.40 ", 8.28 ,#NAME?,
5,Alaska Powder,,Alaska,grams,33,,CIP,,Alaska/pack (sachetx33grams),, 8.28 ,141,1,grams,pieces,,, 141.00 , 141pieces ," 1,167.48 ",,#NAME?,
5,Alaska Powder,,n/a,,,,F1,,,, 9.20 ,157,1,0,pieces,,, 157.00 , 157pieces ," 1,444.40 ",,#NAME?,
6,All Purpose Cream,All Purpose Ceam,Jersey,grams,250,,Annex,,Jersey/can/250grams,, 0.24 ,11500, 250.00 ,grams, grams,,250grams," 2,875,000.00 ", 2875000grams ," 2,741.60 ", 0.24 ,#NAME?,
6,All Purpose Cream,,Alaska,ml,250,,CIP,,Alaska,, 61.32 ,30,250,ml,ml,,," 7,500.00 ", 7500ml ," 1,839.60 ",,#NAME?,
6,All Purpose Cream,,Angel,ml,250,,CIP,,Angel,, 46.58 ,22,250,ml,ml,,," 5,500.00 ", 5500ml ," 1,024.76 ",,,
6,All Purpose Cream,All Purpose Creama,Alaska,ml,250,,F1,,Alaska/tetrapack(48x250ml),, 0.25 ,6500,250,ml,ml,,," 1,625,000.00 ", 1625000ml ," 1,594.32 ",,,
7,All Purpose Dressing,,Best Foods,ml,3500,,CIP,,Best Foods/gallon/3500ml,, 412.28 ,8,1,ml,gal,,, 8.00 , 8gal ," 3,298.24 ",,,
7,All Purpose Dressing,,n/a,,,,F1,,,, 420.60 ,3,1,0,gal,,, 3.00 , 3gal ," 1,261.80 ",,,
8,All Purpose Flour,,White Pigeon,grams,1000,,Annex,,White Pigeon/pack/1000grams,, 0.08 ,5000,1000,grams,grams,,1000grams," 5,000,000.00 ", 5000000grams , 400.00 , 0.08 ,,
8,All Purpose Flour,,White Pigeon,grams,1000,,CIP,,White Pigeon,, 59.60 ,22,1000,grams,grams,,," 22,000.00 ", 22000grams ," 1,311.20 ",,,
8,All Purpose Flour,,Maya,grams,400,,CIP,,Maya,, 45.54 ,2,400,grams,grams,,, 800.00 , 800grams , 91.08 ,,,
8,All Purpose Flour,,Maya,grams,500,,F1,,Maya Complete/box/500grams,, 0.17 ,4500,500,grams,grams,,," 2,250,000.00 ", 2250000grams , 783.00 ,,,
8,All Purpose Flour,,No Brand,pack,1000grams,,F1,,No Brand/pack/1000grams,, 0.05 ,750,1000,pack,grams,,," 750,000.00 ", 750000grams , 36.00 ,,,
9,All Purpose Flour - 3rd class,,Penguin,,,,CIP,,Penguin,, 48.00 ,26,1000,0,grams,,," 26,000.00 ", 26000grams ," 1,248.00 ",,,
10,Atusete,,n/a,grams,1000,,CIP,,pack/1000grams,, 650.00 ,0,1,grams,grams,,, 0.25 , 0.25grams , 162.50 ,,,
11,Bagoong Isda Balayan,,La Marina,bottle,340grams,,Annex,,La Marina/bottle/340grams,, 0.09 ,1020,340,bottle,grams,,340grams," 346,800.00 ", 346800grams , 90.00 , 0.09 ,,
12,Bagoong Isda Jp Boneless,,n/a,,,,F1,,,, 0.17 ,1450,290,0,ml,,," 420,500.00 ", 420500ml , 250.00 ,,,
13,Baking Powder,,Calumet,grams,1000,,CIP,,Calumet,, 208.00 ,2,1000,grams,grams,,," 2,000.00 ", 2000grams , 416.00 ,,,
14,Baking Soda,,Queen,grams,250,,CIP,,Queen,, 32.10 ,2,250,grams,grams,,, 500.00 , 500grams , 64.20 ,,,
15,Balsamic Vinegar,,Filippo Berio,bottle,330ml,,CIP,,Filippo Berio/bottle/330ml,, 255.00 ,1,1,bottle,ml,,, 1.00 , 1ml , 255.00 ,,,
16,Bangus,,Indicate ave weight,piece,,,Annex,,Indicate ave weight/piece,, 0.27 ,10000,1000,piece,grams,,1000grams," 10,000,000.00 ", 10000000grams ," 2,680.00 ",,,
17,Barbecue Sticks,,pack,100pcs,,,CIP,,pack/100pcs,, 18.94 ,30,1,100pcs,packs,,, 30.00 , 30packs , 568.20 ,,,
18,Bear Brand,,Nestle,pcsx33grams),,,CIP,,Nestle/pcsx33grams),, 10.82 ,132,1,pcsx33grams),pieces,,, 132.00 , 132pieces ," 1,428.24 ",,,
19,Bear Brand adult,,Nestle,pcsx33grams),,,Annex,,Nestle/pcsx33grams),, 16.90 ,26,1,pcsx33grams),pieces,,1pieces, 26.00 , 26pieces , 439.40 , 16.90 ,,
19,Bear Brand Adult,,n/a,,,,F1,,,, 18.85 ,16,1,0,pieces,,, 16.00 , 16pieces , 301.60 ,,,
21,Bear Brand Sterilized,,Nestle,Tetrapack,250ml,,CIP,,Nestle/Tetrapack/250ml,, 23.75 ,20,1,Tetrapack,pieces,,, 20.00 , 20pieces , 475.00 ,,,
22,Bear Brand Swak,,Nestle,pack (pcsx33grams),,,Annex,,Nestle/pack (pcsx33grams),, 10.82 ,374,1,pack (pcsx33grams),pieces,,1pieces, 374.00 , 374pieces ," 4,046.68 ", 10.82 ,,
22,Bear Brand Swak,,n/a,,,,F1,,,, 11.00 ,256,1,0,pieces,,, 256.00 , 256pieces ," 2,816.00 ",,,
23,Beef Laman (frozen),,seara,,,,CIP,,seara,, 330.00 ,30,1,0,kilos,,, 30.00 , 30kilos ," 9,900.00 ",,,
23,Beef Laman (frozen),,n/a,,,,F1,,,, 317.00 ,39,1,0,kilos,,, 39.00 , 39kilos ," 12,363.00 ",,,
24,Beef Loaf,,Argentina,can,250grams,,CIP,,Argentina/can/250grams,, 29.86 ,98,1,can,grams,,, 97.92 , 97.92grams ," 2,923.89 ",,,
25,Beng-Beng Choco Caramel,,n/a,,,,F1,,,, 8.48 ,8,10,0,pieces,,, 80.00 , 80pieces , 67.84 ,,,
